player_id,name,offense,defense,total,value,wins_added,possessions
1628983,Shai Gilgeous-Alexander,2.8090012062692464,3.9585487561512536,6.7675499624204996,2859.5952164044693,95.31984054681564,30856.0
1630169,Tyrese Haliburton,3.818818755256876,0.847917566577182,4.666736321834058,1576.564456327815,52.5521485442605,21998.36
1631260,AJ Green,2.2521239823509087,2.005111384072029,4.257235366422938,1118.8305972425512,37.29435324141837,16557.52
202695,Kawhi Leonard,3.7191623272072674,0.4557123035921139,4.174874630799382,1419.9834595078846,47.332781983596156,21273.559999999998
1628378,Donovan Mitchell,1.6423577653690533,2.0676432105772795,3.7100009759463326,1914.2899328444357,63.809664428147855,30825.92
203507,Giannis Antetokounmpo,3.223892448302454,0.3423354510316976,3.5662278993341516,1362.724714779903,45.4241571593301,22464.12
1628384,OG Anunoby,1.551791767318758,1.9641239255415772,3.515915692860335,1871.7583195486848,62.39194398495616,31113.440000000002
201939,Stephen Curry,4.033904944491329,-0.5355859118811613,3.498319032610168,1549.5097657799886,51.65032552599962,25832.399999999998
1641705,Victor Wembanyama,1.4994604143198378,1.892698279971729,3.3921586942915667,1323.527325136982,44.117577504566064,22462.52
1631157,Ryan Rollins,1.4827508805584133,1.9067399707501944,3.389490851308608,694.9834784178208,23.166115947260696,11800.4
1628988,Aaron Holiday,0.7057589916450332,2.605933024462135,3.311692016107168,626.0494120359028,20.868313734530094,10772.240000000002
1629675,Naz Reid,1.1634517630553123,2.1474960224825157,3.310947785537828,1504.2986482750912,50.143288275836376,25887.32
1642345,Oso Ighodaro,1.4080571765432288,1.8216697143959315,3.22972689093916,644.0556809029072,21.46852269676357,11240.599999999999
1626157,Karl-Anthony Towns,2.8708839588022093,0.35118987173351135,3.2220738305357206,1741.590990527642,58.053033017588064,30436.36
1626181,Norman Powell,1.7358699060064209,1.4116988377367659,3.1475687437431867,1248.670672159126,41.62235573863754,22109.88
1627827,Dorian Finney-Smith,1.54639422771024,1.5593465370582997,3.10574076476854,923.2296272164841,30.774320907216136,16469.36
1628989,Kevin Huerter,2.1825453246329687,0.8970760469432819,3.0796213715762506,1027.645736822719,34.254857894090634,18417.839999999997
1627739,Kris Dunn,1.4220518905000374,1.578626893710643,3.00067878421068,1028.5873277601509,34.286244258671694,18699.280000000002
1642844,Dylan Harper,1.0728325442656883,1.8750922905276086,2.947924834793297,393.66486939222966,13.122162313074321,7225.959999999999
1630631,Jose Alvarado,0.6781947706746259,2.215814739390721,2.894009510065347,825.5963075915819,27.519876919719398,15305.8
1642864,Hugo González,1.217676807850642,1.6179976359192667,2.835674443769909,215.65302112873715,7.188434037624572,4041.72
1630598,Aaron Wiggins,1.6370343820861524,1.1885658052603862,2.825600187346539,874.6787050098704,29.155956833662348,16424.04
1629004,Svi Mykhailiuk,2.183371848341328,0.6369527252131119,2.8203245735544398,500.6978737470378,16.689929124901262,9411.04
